Old.Name,Group,Seq.Name1,Seq.Name2,Seq.Name3
GWR_100_119,1,POP28_04,POP29_53,NA
GWR_100_324,1,POP29_77,NA,NA
XXX_100_64,1,POP26_30,NA,NA
GWR_100_241,1,POP26_19,NA,NA
GWR_100_336,1,POP29_65,NA,NA
GWR_100_180,1,POP27_37,POP29_23,NA
XXX_100_37,1,POP25_30,POP29_21,NA
GWR_100_276,1,POP26_03,POP29_66,NA
XXX_100_128,1,POP27_07,NA,NA
XXX_100_30,1,POP25_47,NA,NA
GWR_100_39,1,POP27_08,NA,NA
GWR_100_156,1,POP26_79,NA,NA
GWR_100_185,1,POP30_54,POP31_79,NA
GWR_100_273,1,POP30_65,NA,NA
GWR_100_24,1,POP27_89,NA,NA
GWR_100_133,1,POP27_63,NA,NA
XXX_100_110,1,POP26_46,NA,NA
GWR_100_222,1,POP29_81,NA,NA
GWR_100_28,1,POP28_13,NA,NA
GWR_100_194,1,POP31_52,NA,NA
GWR_100_285,1,POP30_27,NA,NA
GWR_100_437,1,POP25_65,NA,NA
GWR_100_46,1,POP31_49,POP31_57,NA
GWR_100_315,1,POP30_38,NA,NA
GWR_100_377,1,POP28_10,NA,NA
GWR_100_438,1,POP27_74,NA,NA
GWR_100_53,1,POP31_32,POP31_55,NA
GWR_100_447,1,POP26_25,POP29_05,POP29_75
XXX_100_11,1,POP27_84,NA,NA
GWR_100_334,1,POP26_91,POP28_40,NA
GWR_100_195,1,POP25_33,NA,NA
GWR_100_426,1,POP30_56,NA,NA
GWR_100_40,1,POP27_26,NA,NA
XXX_100_50,1,POP27_51,NA,NA
GWR_100_444,1,POP30_15,NA,NA
GWR_100_107,1,POP26_02,NA,NA
GWR_100_304,1,POP25_79,NA,NA
GWR_100_296,1,NA,NA,NA
IFG_100_462,1,POP30_11,NA,NA
XXX_100_234,1,POP31_23,NA,NA
GWR_100_431,2,POP28_22,NA,NA
GWR_100_122,2,POP30_21,NA,NA
GWR_100_227,2,POP25_80,POP29_28,POP29_78
XXX_100_167,2,POP28_64,NA,NA
GWR_100_147,2,POP28_80,POP29_57,NA
GWR_100_360,2,POP26_37,NA,NA
XXX_100_51,2,POP26_23,NA,NA
XXX_100_54,2,POP31_68,POP31_80,NA
GWR_100_200,2,POP25_73,NA,NA
XXX_100_163,2,POP28_44,NA,NA
XXX_100_139,2,POP29_62,POP30_22,NA
GWR_100_212,2,POP29_07,POP30_61,NA
XXX_100_13,2,NA,NA,NA
GWR_100_352,2,POP26_84,POP28_60,POP29_93
GWR_100_3,2,POP28_84,POP31_72,NA
GWR_100_483,2,POP25_20,NA,NA
XXX_100_233,2,POP28_50,POP30_75,NA
GWR_100_2,2,POP29_87,NA,NA
GWR_100_450,2,POP25_77,NA,NA
XXX_100_68,2,POP28_49,NA,NA
GWR_100_110,2,POP26_81,NA,NA
GWR_100_497,2,POP26_27,NA,NA
XXX_100_117,2,POP27_70,NA,NA
XXX_100_67,2,POP28_09,NA,NA
XXX_100_118,2,POP25_54,NA,NA
GWR_100_370,2,POP25_64,NA,NA
GWR_100_89,2,POP28_23,NA,NA
GWR_100_461,2,POP29_79,NA,NA
XXX_100_59,2,POP26_60,NA,NA
GWR_100_248,2,POP30_10,POP31_24,NA
XXX_100_124,2,POP28_53,POP29_48,NA
GWR_100_301,2,POP25_83,NA,NA
XXX_100_66,2,POP27_81,NA,NA
GWR_100_415,2,POP26_63,NA,NA
GWR_100_125,2,POP30_41,NA,NA
GWR_100_14,2,POP25_95,NA,NA
XXX_100_61,2,POP29_84,NA,NA
XXX_100_60,2,POP26_71,NA,NA
XXX_100_161,2,POP30_84,NA,NA
GWR_100_19,2,POP25_09,NA,NA